zoop_group,taxa
bos_tot,Bosmina sp.
bos_e,Bosmina sp. eggs
dgal_grp,Daphnia galeata mendotae
dgal_e,Daphnia galeata mendotae eggs
dibir,Diaphanosoma birgei
dirbir_e,Diaphanosoma birgei eggs
hogla,Holopedium gibberum
hogla_e,Holopedium gibberum eggs
chysp,Chydorus sp.
chysp_e,Chydorus sp. eggs
sicry,Sida crystallina
copnc,Copepod nauplii
lsegg,Loose eggs
cybica_f,Adult female Diacyclops bicuspidatus thomasi
cybica_m,Adult male Diacyclops bicuspidatus thomasi
cybica_a,Diacyclops bicuspidatus thomasi
cybicc,Diacyclops bicuspidatus thomasi
cybica_e,Diacyclops bicuspidatus thomasi eggs
mceda_f,Adult female Mesocyclops edax
mceda_m,Adult male Mesocyclops edax
mceda_a,Mesocyclops edax
mcedc,Mesocyclops edax
mceda_e,Mesocyclops edax eggs
tcexta_f,Adult female Tropocyclops extensus
tcexta_m,Adult male Tropocyclops extensus
tcexta_a,Tropocyclops extensus
tcextc,Tropocyclops extensus
tcexta_e,Tropocyclops extensus eggs
mcruba_f,Adult female Microcyclops rubellus
mcruba_m,Adult male Microcyclops rubellus
mcruba_a,Microcyclops rubellus
mcrubc,Microcyclops rubellus
mcruba_e,Microcyclops rubellus eggs
cyc13,Unidentified C13 cyclopoids
dpmina_f,Adult female Leptodiaptomus minutus
dpmina_m,Adult male Leptodiaptomus minutus
dpmina_a,Leptodiaptomus minutus
dpminc,Leptodiaptomus minutus
dpmina_e,Leptodiaptomus minutus eggs
eplaca_f,Adult female Epischura lacustris 
eplaca_m,Adult male Epischura lacustris 
eplaca_a,Epischura lacustris 
eplacc,Epischura lacustris 
eplaca_e,Epischura lacustris eggs
cal13,Unidentified C13 calanoids
